campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,campaign_duration,net_profit
Public-key multi-tasking throughput,2023-04-01 00:00:00,2024-02-23,8082.3,8680%,email,B2B,organic,0.4,709593.48,328,701511.1799999999
De-engineered analyzing task-force,2023-02-15 00:00:00,2024-04-22,17712.98,2817%,email,B2C,promotion,0.66,516609.1,432,498896.12
Balanced solution-oriented Local Area Network,2022-12-20 00:00:00,2023-10-11,84643.1,441%,podcast,B2B,paid,0.28,458227.42,295,373584.31999999995
Distributed real-time methodology,2022-09-26 00:00:00,2023-09-27,14589.75,517%,webinar,B2B,organic,0.19,89958.73,366,75368.98
Front-line executive infrastructure,2023-07-07 00:00:00,2024-05-15,39291.9,21%,social media,B2B,promotion,0.81,47511.35,313,8219.449999999997
Upgradable transitional data-warehouse,2023-06-29 00:00:00,2023-12-13,75569.28,639%,social media,B2C,referral,0.67,558302.11,167,482732.82999999996
Innovative context-sensitive framework,2023-03-01 00:00:00,2024-02-23,28964.45,497%,email,B2C,referral,0.17,172882.59,359,143918.13999999998
User-friendly client-driven service-desk,2023-01-06 00:00:00,2023-12-11,36800.58,460%,webinar,B2C,promotion,0.52,206241.46,339,169440.88
Proactive neutral methodology,2022-09-06 00:00:00,2024-01-11,40493.88,1714%,webinar,B2C,organic,0.47,734755.76,492,694261.88
Intuitive responsive support,2022-11-25 00:00:00,2024-04-04,1816.22,30914%,social media,B2C,referral,0.85,563280.3,496,561464.0800000001
Multi-lateral dedicated workforce,2023-06-15 00:00:00,2024-06-15,94084.21,332%,podcast,B2B,referral,0.23,406522.77,366,312438.56
Cross-platform demand-driven encoding,2023-07-21 00:00:00,2023-11-04,64041.37,172%,social media,B2B,promotion,0.55,174462.47,106,110421.1
Networked even-keeled toolset,2023-03-16 00:00:00,2023-09-05,49375.81,1278%,social media,B2B,organic,0.95,680416.9,173,631041.0900000001
Optional actuating standardization,2023-07-04 00:00:00,2024-05-06,14810.62,3124%,webinar,B2B,referral,0.45,477528.27,307,462717.65
Innovative web-enabled function,2022-11-05 00:00:00,2023-09-05,36848.3,-89%,webinar,B2C,referral,0.1,4190.95,304,-32657.350000000002
Configurable methodical service-desk,2023-03-23 00:00:00,2023-11-07,21510.43,8%,email,B2B,referral,0.92,23176.85,229,1666.4199999999983
Cross-group empowering attitude,2022-09-14 00:00:00,2024-01-25,99520.93,288%,podcast,B2C,paid,0.65,386133.95,498,286613.02
Intuitive didactic installation,2023-06-24 00:00:00,2024-03-27,19213.46,4716%,email,B2B,organic,0.96,925274.53,277,906061.0700000001
Fundamental dedicated encryption,2023-07-16 00:00:00,2023-08-17,17573.23,2521%,email,B2B,promotion,0.79,460559.74,32,442986.51
De-engineered 4thgeneration moratorium,2022-09-26 00:00:00,2024-05-30,25396.4,1053%,email,B2C,promotion,0.1,292885.55,612,267489.14999999997
Managed upward-trending website,2023-02-07 00:00:00,2024-02-07,34644.22,1283%,podcast,B2B,referral,0.72,478980.33,365,444336.11
Self-enabling human-resource infrastructure,2023-04-20 00:00:00,2024-01-09,60274.59,1516%,webinar,B2B,organic,0.91,974038.96,264,913764.37
Cross-platform 24/7 archive,2023-01-16 00:00:00,2024-07-15,79680.62,447%,email,B2B,promotion,0.96,435524.36,546,355843.74
